MMult0,,
40,2.285714e+00,0.000000e+00
80,1.950476e+00,0.000000e+00
120,1.953646e+00,0.000000e+00
160,1.907334e+00,0.000000e+00
200,1.855503e+00,0.000000e+00
240,1.830751e+00,0.000000e+00
280,1.832464e+00,0.000000e+00
320,1.836823e+00,0.000000e+00
360,1.822251e+00,0.000000e+00
400,1.791011e+00,0.000000e+00
440,1.773595e+00,0.000000e+00
480,1.790108e+00,0.000000e+00
520,1.780175e+00,0.000000e+00
560,1.775002e+00,0.000000e+00
600,1.762719e+00,0.000000e+00
640,1.727291e+00,0.000000e+00
680,1.690995e+00,0.000000e+00
720,1.666669e+00,0.000000e+00
760,1.595337e+00,0.000000e+00
800,1.547106e+00,0.000000e+00
